Feature	Gain	Cover	Frequency
ctrx_quarter	0.128611589952677	0.0149774110775416	0.00868002447231569
rf_003_005	0.0595756722706899	0.00182367892120007	0.000439736922606302
mcaja_ahorro	0.0451787215948966	0.00691934201692925	0.0124082288161517
ctarjeta_visa	0.0285358887836193	0.000332141291884017	0.000382379932701132
mcuentas_saldo	0.0273527392414177	0.0148804096649793	0.0129435607219333
cdescubierto_preacordado_delta2	0.0244190245628539	0.000854150733440513	0.000267665952890792
rf_001_006	0.0219356081790623	0.00117074297452782	0.000669164882226981
mcuenta_corriente	0.0193397451034637	0.00789544946226345	0.00718874273478128
foto_mes	0.0185442472046778	0.0161000029664309	0.0143010094830223
Visa_status	0.0169505291978692	0.0026808812387307	0.000860354848577547
mprestamos_personales	0.0145965970200791	0.00967666683031539	0.0046267971856837
rf_016_007	0.013671591265159	0.00499201420693029	0.00302080146833894
rf_009_003	0.0135398356727966	0.00846372220613326	0.00156775772407464
rf_007_004	0.0127695948615389	0.00183089232408312	0.001013306821658
cpayroll_trx	0.0119834924769091	0.00481849571650638	0.00214132762312634
cdescubierto_preacordado	0.011480330676172	0.00226634813723977	0.00122361578464362
cproductos_delta2	0.00826238057927206	0.00691124849722425	0.00277225451208321
rf_009_014	0.00816387398516516	9.45882974985726e-05	0.00011471397981034
ctrx_quarter_delta1	0.00723098735489413	0.00405032643944881	0.00680636280208015
cproductos_delta1	0.00721701394428231	0.00710153364547831	0.00193101866014072
mtarjeta_visa_consumo	0.00688917692237655	0.0107498129202281	0.00927271336800245
Visa_mpagominimo	0.00624560609523623	0.013400718302396	0.0132685836647293
mcuentas_saldo_delta2	0.00624301989033631	0.0075239805921702	0.00858442948914041
mrentabilidad_annual_lag2	0.00555789208101126	0.00403366931580829	0.0079726215968186
ctrx_quarter_delta2	0.0050534650963484	0.00608547288385594	0.00732257571122668
ccomisiones_mantenimiento_delta2	0.00495890480790569	0.0043299333564565	0.00187366167023555
ctarjeta_visa_transacciones	0.00494641628383838	0.00494679340107095	0.00678724380544509
mrentabilidad_annual_delta1	0.00487566114898004	0.00450613423349363	0.00829764453961456
cprestamos_personales_delta2	0.00481940507990264	0.00139045726922274	0.000745640868767207
mactivos_margen	0.00469120948632663	0.00661403179737411	0.00894769042520649
mpasivos_margen	0.00460106759833579	0.00360564717494673	0.00759024166411747
